code,type,XETRS89,YETRS89,name
UDRG01,golf,692138.76596,4200345.43124,Alicante (Segura)
UDRG02,golf,614036.790282,4135422.762543,Almeria (Segura)
UDRG04,golf,694269.864664,4164403.857156,Cartagena y F. Alamo
UDRG06,golf,645084.76776819,4170498.89330731,Mazarron
UDRG07,golf,660975.362131808,4188377.37902106,Murcia y Mar Menor
UDRG08,golf,660325.224548845,4215541.49733174,Vega Alta
UDRG09,golf,644580.91234858,4177784.22305259,Zona Centro
UDRG10,golf,621596.085992034,4157293.11799468,Zona de Lorca
