demand_unit_code,year,water_demand
UDA65,2021,68737268.5952196
UDA66,2021,6634310.11220334
UDA67,2021,29611597.6044616
UDA68,2021,27926669.2723247
UDA69,2021,25074464.0621596
UDA71,2021,14098408.6440315
UDA72,2021,43076688.0160842
UDA73,2021,10517918.3341767
UDA75,2021,39447244.4458183
UDA54,2021,45700000
UDA70,2021,13100000
UDA01,2027,14523841.844
UDA02,2027,19211227.957
UDA03,2027,24647387.666
UDA04,2027,15595562.884
UDA05,2027,7891798.338
UDA06,2027,852702.412
UDA07,2027,57432016.614
UDA08,2027,3679980.392
UDA09,2027,3518251.797
UDA10,2027,21800000
UDA11,2027,17832580.169
UDA12,2027,12009656.052
UDA13,2027,5549121.569
UDA14,2027,1548443.599
UDA15,2027,6052415.301807
UDA16,2027,9215188.98936942
UDA17,2027,6369187.1108213
UDA18,2027,4187075.23024077
UDA20,2027,15168764.8095615
UDA21,2027,4527297.80748351
UDA22,2027,44869005.1841136
UDA25,2027,17319925.7651558
UDA26,2027,16375308.1221572
UDA27,2027,5065372.81685038
UDA28,2027,20963778.7993846
UDA29,2027,3522369.33426271
UDA30,2027,5443894.37251955
UDA31,2027,21863294.0279429
UDA32,2027,54736491.3376532
UDA34,2027,5063074.29703623
UDA36,2027,8448107.61326232
UDA37,2027,21364157.3893582
UDA38,2027,14338547.4057205
UDA39,2027,32243407.6929413
UDA40,2027,13092313.9695882
UDA41,2027,4329790.96433895
UDA42,2027,3927807.34592186
UDA43,2027,2937819.02906325
UDA44,2027,8128352.86262384
UDA45,2027,18083531.2980597
UDA46,2027,105395255.274268
UDA48,2027,11567193.9792871
UDA51,2027,9115749.44951536
UDA52,2027,17242831.7716865
UDA53,2027,59539773.3481759
UDA55,2027,3152629.15430992
UDA56,2027,57945340.7417354
UDA57,2027,87251463.7799083
UDA58,2027,131798187.011388
UDA60,2027,11057720.4226898
UDA61,2027,46642706.6450149
UDA63,2027,54405309.0504441
UDA64,2027,56866371.7402742
UDA65,2027,68737268.5952196
UDA66,2027,6634310.11220334
UDA67,2027,29611597.6044616
UDA68,2027,27926669.2723247
UDA69,2027,25074464.0621596
UDA71,2027,14098408.6440315
UDA72,2027,43076688.0160842
UDA73,2027,10517918.3341767
UDA75,2027,39447244.4458183
UDA54,2027,45700000
UDA70,2027,13100000
