code,type,XETRS89,YETRS89,name
UDI01,industry,632191.51764398,4181368.00207718,guadalentin
UDI02,industry,599798.567765,4218005.430594,cabecera
UDI03,industry,648923.281503221,4220134.58280829,centro
UDI04,industry,714630.21223,4246447.249488,murcia
UDI05,industry,717747.386076743,4245820.36645354,alicante-segura
UDI06,industry,680205.779499153,4165801.51081323,litoral
UDI07,industry,656810.737959,4204303.218196,directa mct
