01P01	Centro de Recepción Final(Murcia)	Murcia	Murcia	P	Pluviómetro Aislado	\N	0101000020E66400000000000060452441000000C0290B5041
06Z03	Sondeo SM-3 Red Piezométrica Mar Menor	Cartagena	Murcia	Z	Pozo Sondeo	\N	0101000020E6640000F6285CCF1E0D2541D122DBA9D5CF4F41
01A01	Aforo en rio Segura(Contraparada)	Molina de Segura	Murcia	A	Punto de Control en Cauce	\N	0101000020E6640000FCA9F1521C0B2441A245B6C3BC0D5041
01A02	Aforo en Beniscornia	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E6640000DCD781538A2C24411B2FDD18200B5041
01A03	Rio Segura - Murcia Autovia	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000E240244100000040A60A5041
01A04	Aforo río Segura La Fica	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000C4512441000000800A0B5041
01A05	Aforo río Chícamo, Macisvenda	Abanilla	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000EC9724410000000068295041
01C01	Aforo en depuradora Campotejar	Molina de Segura	Murcia	I	Impulsión	\N	0101000020E664000000000000FA0A244100000080B0185041
01C02	Aforo C.P.M.I. y derivación a Santomera	Fortuna	Murcia	C	Punto de Control en Canal	\N	0101000020E6640000448B6C67606F2441DBF97E7A7D1B5041
01C03	Acueducto La Matanza (Trasvase)	Fortuna	Murcia	C	Punto de Control en Canal	\N	0101000020E6640000F2D24DE25D962441DF4F8DD782195041
01C04	Aforo Canal de Abanilla	Fortuna	Murcia	C	Punto de Control en Canal	\N	0101000020E6640000333333B3E4682441FED47891901A5041
01C05	Toma Regantes de Pliego	Mula	Murcia	C	Punto de Control en Canal	\N	0101000020E66400003108AC9C3C6023413BDF4FE539035041
01C06	Embalse de Algeciras (Cas)	Alhama de Murcia	Murcia	E	Embalse	\N	0101000020E66400000000000028982341000000C00B005041
01E01	Embalse de La Cierva	Mula	Murcia	E	Embalse	\N	0101000020E6640000A245B6F3114F2341AC1C5A04E9125041
01E02	Embalse de Santomera	Santomera	Murcia	E	Embalse	\N	0101000020E664000000000000D65F2441000000402B175041
01E03	Embalse de Pliego	Pliego	Murcia	E	Embalse	\N	0101000020E6640000000000008035234100000080B00A5041
01E04	Embalse de Doña Ana	Mula	Murcia	E	Embalse	\N	0101000020E6640000000000009422234100000080C40E5041
01E05	Embalse de Algeciras	Alhama de Murcia	Murcia	E	Embalse	\N	0101000020E66400000000000028982341000000C00B005041
01E06	Embalse de José Bautista	Librilla	Murcia	E	Embalse	\N	0101000020E6640000000000008AC623410000000046FE4F41
01E07	Embalse de los Rodeos	Alguazas	Murcia	E	Embalse	\N	0101000020E66400000000000084D423410000008093115041
01I01	Impulsión de Yechar	Campos del Río	Murcia	I	Impulsión	\N	0101000020E6640000A69BC4E0349B23412DB29D5FDB135041
01L01	Aforo en cabecera canal de Crevillente	Fortuna	Murcia	C	Punto de Control en Canal	\N	0101000020E664000000000000386B244100000000B61C5041
01M01	Estación Meteorológica Majal Blanco (AMETSE)	Murcia	Murcia	M	Estación Meteorológica	\N	0101000020E664000000000000C0102441000000806BFF4F41
01M02	Estación Meteorológica Relojero (AMETSE)	Murcia	Murcia	M	Estación Meteorológica	\N	0101000020E664000000000000E04D24410000008080035041
01M03	Estación Meteorológica Bullas (AMETSE)	Bullas	Murcia	M	Estación Meteorológica	\N	0101000020E664000000000000D0D52241000000807B115041
01M04	Estación Meteorológica La Selva (AMETSE)	Mula	Murcia	M	Estación Meteorológica	\N	0101000020E66400000000000076C1224100000000AF035041
01M05	Estación Meteorológica Collado Bermejo (AMETSE)	Totana	Murcia	M	Estación Meteorológica	\N	0101000020E6640000B81E856B541A23411F85EBF1CFF84F41
01O01	By Pass en CPMI a Contraparada	Molina de Segura	Murcia	I	Impulsión	\N	0101000020E664000000000000220A2441000000403B195041
01O02	Marco de control en rio Pliego	Mula	Murcia	A	Punto de Control en Cauce	\N	0101000020E66400000000000070482341000000C0410E5041
01O03	Marco de control en rio Mula	Albudeite	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000BEA3234100000080C00F5041
01O04	Marco de control en Rambla Salada	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E66400000000000004E8234100000080AE0B5041
01O05	Marco de control El Reguerón - El Palmar	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000D2312441000000C0C7065041
01O06	Río Guadalentín Paretón de Totana	Totana	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000706723410000008003DD4F41
01P02	Pluviómetro en Caserío Gebas	Alhama de Murcia	Murcia	P	Pluviómetro Aislado	\N	0101000020E664000000000000246A23410000004051015041
01P03	Pluviómetro en Pinar Hermoso	Mula	Murcia	P	Pluviómetro Aislado	\N	0101000020E66400000000000042DB224100000080EB0B5041
01P04	Pluviómetro en Baños de Fortuna	Abanilla	Murcia	P	Pluviómetro Aislado	\N	0101000020E664000000000000E0502441000000C015255041
01Q01	SAICA - Segura en Contraparada	Molina de Segura	Murcia	Q	Calidad de Aguas	\N	0101000020E66400001D5A643B120B2441E5D022FBBA0D5041
01Q02	SAICA - Segura en San Antón	Murcia	Murcia	Q	Calidad de Aguas	\N	0101000020E6640000C3F5285CC07524415C8FC2D5C50C5041
01R01	Azud de Contraparada	Murcia	Murcia	A	Punto de Control en Cauce	\N	0101000020E664000000000000700B2441000000000F0C5041
