01E01X1	01E01	Canal Acequia Riegos de Mula	0101000020E664000023DBF97E054F23414260E588C6125041	Acequia	X
01E01X2	01E01	Canal Acequia Perona-La Puebla	0101000020E6640000E92631C86E4F2341D34D62709C125041	Acequia	X
01E01X3	01E01	Acequia Mayor de La Cierva	0101000020E6640000C520B03232402341448B6C6F01135041	Acequia	X
01E02A1	01E02	Aforo en Río Santomera - Salida Embalse Santomera	0101000020E6640000BE9F1A2F69602441F4FDD4B843175041	Aforo en cauce	A
01E02C1	01E02	Canal Salida Embalse Santomera	0101000020E66400008195438B3A6324417B14AECF63175041	Aforo en canal	C
01E02E1	01E02	Embalse de Santomera	0101000020E66400003D0AD7A3B05F2441C74B371144175041	Embalse	E
01E02M1	01E02	Estación Meteorológica E.Santomera	0101000020E664000000000000D65F2441000000402B175041	Estación Meteorologica	M
01E02P1	01E02	Pluviómetro en Embalse de Santomera	0101000020E664000000000000D65F2441000000402B175041	Pluviometro	P
01E03A1	01E03	Aforo en río Pliego (salida E. Pliego)	0101000020E6640000D34D62D09C362341E17A145EB70A5041	Aforo en cauce	A
01E03E1	01E03	Embalse de Pliego	0101000020E6640000FA7E6A3C5B362341C976BE67A50A5041	Embalse	E
01E03M1	01E03	Estación Meteorológica E.Pliego	0101000020E6640000000000008035234100000080B00A5041	Estación Meteorologica	M
01E03P1	01E03	Pluviómetro en Embalse de Pliego	0101000020E6640000000000008035234100000080B00A5041	Pluviometro	P
01E04A1	01E04	Aforo en Rbla. Doña Ana (salida E. Doña Ana)	0101000020E6640000F853E325E12223417D3F359EB60E5041	Aforo en cauce	A
01E04E1	01E04	Embalse de Doña Ana	0101000020E6640000E3A59B4488222341FED478E1C00E5041	Embalse	E
01E04M1	01E04	Estación Meteorológica E. Doña Ana	0101000020E6640000000000009422234100000080C40E5041	Estación Meteorologica	M
01E04P1	01E04	Pluviómetro en Embalse de Doña Ana	0101000020E6640000000000009422234100000080C40E5041	Pluviometro	P
01E05A1	01E05	Aforo Rbla Algeciras - Salida Emb. Algeciras	0101000020E6640000508D972ECE992341560E2DF234005041	Aforo en cauce	A
01E05C1	01E05	Balsa de Algeciras (Riñon)	0101000020E6640000B072681142992341E17A140EE8FF4F41	Aforo en canal	C
01E05C2	01E05	Balsa de La Muela	0101000020E664000075931804087A23411F85EB2199FE4F41	Aforo en canal	C
01E05C4	01E05	Bombeo al Embalse de Algeciras	0101000020E6640000CFF753A3E39923414E621018F3FF4F41	Aforo en canal	C
01E05E1	01E05	Embalse de Algeciras	0101000020E66400006ABC7453759623413108ACE441005041	Embalse	E
01E06A1	01E06	Aforo en río Guadalentín (salida embalse José Baut	0101000020E6640000333333B332C723410E2DB25D32FE4F41	Aforo en cauce	A
01E06E1	01E06	Embalse de José Bautista	0101000020E6640000E17A146ECBC62341AC1C5A741DFE4F41	Embalse	E
01E06M1	01E06	Estación Meteorológica E.JoseBautista	0101000020E6640000000000008AC623410000000046FE4F41	Estación Meteorologica	M
01E06P1	01E06	Pluviómetro en Embalse de José Bautista	0101000020E6640000000000008AC623410000000046FE4F41	Pluviometro	P
01E07A1	01E07	Aforo río Mula (salida embalse de Los Rodeos)	0101000020E6640000D122DB79CBD32341C1CAA1953B115041	Aforo en cauce	A
01E07E1	01E07	Embalse de los Rodeos	0101000020E66400008FC2F5286DD32341355EBA5149115041	Embalse	E
01E07M1	01E07	Estación Meteorológica E.Los Rodeos	0101000020E66400000000000084D423410000008093115041	Estación Meteorologica	M
01E07P1	01E07	Pluviómetro en Embalse de Los Rodeos	0101000020E66400000000000084D423410000008093115041	Pluviometro	P
01I01I1	01I01	Impulsión de Yechar	0101000020E6640000295C8F02459B23410AD7A378DA135041	Impulsion	I
01I01M1	01I01	Estación Meteorológica Imp. Yéchar	0101000020E6640000A69BC4E0349B23412DB29D5FDB135041	Estación Meteorologica	M
01L01C1	01L01	Aforo en Canal de Crevillente - Cabecera	0101000020E6640000C520B0F22B6B24418716D98EB51C5041	Aforo en canal	C
01L01M1	01L01	Estación Meteorológica Cab.C.Crevillente	0101000020E664000000000000386B244100000000B61C5041	Estación Meteorologica	M
01L01P1	01L01	Pluviómetro en Canal de Crevillente - Cabecera	0101000020E664000000000000386B244100000000B61C5041	Pluviometro	P
01M01M1	01M01	Estación Meteorológica Majal Blanco (AMETSE)	0101000020E664000000000000C0102441000000806BFF4F41	Estación Meteorologica	M
01M01P1	01M01	Pluviómetro Majal Blanco (AMETSE)	0101000020E664000000000000C0102441000000806BFF4F41	Pluviometro	P
01M02M1	01M02	Estación Meteorológica Relojero (AMETSE)	0101000020E664000000000000E04D24410000008080035041	Estación Meteorologica	M
01M02P1	01M02	Pluviómetro Relojero (AMETSE)	0101000020E664000000000000E04D24410000008080035041	Pluviometro	P
01M03M1	01M03	Estación Meteorológica Bullas (AMETSE)	0101000020E664000000000000D0D52241000000807B115041	Estación Meteorologica	M
01M03P1	01M03	Pluviómetro Bullas (AMETSE)	0101000020E664000000000000D0D52241000000807B115041	Pluviometro	P
01M04M1	01M04	Estación Meteorológica La Selva (AMETSE)	0101000020E66400000000000076C1224100000000AF035041	Estación Meteorologica	M
01M04P1	01M04	Pluviómetro La Selva (AMETSE)	0101000020E66400000000000076C1224100000000AF035041	Pluviometro	P
01M05M1	01M05	Estación Meteorológica Collado Bermejo (AMETSE)	0101000020E6640000B81E856B541A23411F85EBF1CFF84F41	Estación Meteorologica	M
01M05P1	01M05	Pluviómetro Collado Bermejo (AMETSE)	0101000020E6640000B81E856B541A23411F85EBF1CFF84F41	Pluviometro	P
01O01C1	01O01	Aforo en Bypass de CPMI a Contraparada	0101000020E6640000D7A370FD0F0A2441A01A2FC536195041	Aforo en canal	C
01O01C2	01O01	Aforo en Toma Depuradora de Murcia	0101000020E66400002DB29DEFFA092441B29DEF0F39195041	Aforo en canal	C
01O01M1	01O01	Estación Meteorológica A.ByPassCPMI	0101000020E664000000000000220A2441000000403B195041	Estación Meteorologica	M
01O02A1	01O02	Aforo en Río Pliego (Marco de control)	0101000020E664000054E3A51B73482341F853E365380E5041	Aforo en cauce	A
01O02M1	01O02	Estación Meteorológica A.RíoPliego	0101000020E66400000000000070482341000000C0410E5041	Estación Meteorologica	M
01O02P1	01O02	Pluviómetro en Río Pliego	0101000020E66400000000000070482341000000C0410E5041	Pluviometro	P
01O03A1	01O03	Aforo en Río Mula (Marco de control)	0101000020E66400006891ED7C84A32341C976BEDFC80F5041	Aforo en cauce	A
01O03M1	01O03	Estación Meteorológica A.RíoMula	0101000020E664000000000000BEA3234100000080C00F5041	Estación Meteorologica	M
01O03P1	01O03	Pluviómetro en Río Mula	0101000020E664000000000000BEA3234100000080C00F5041	Pluviometro	P
01O04A1	01O04	Aforo en Rbla Salada (Marco de control)	0101000020E6640000CFF75323A8E723417D3F35A6AA0B5041	Aforo en cauce	A
01O04M1	01O04	Estación Meteorológica A.Rbla Salada	0101000020E66400000000000004E8234100000080AE0B5041	Estación Meteorologica	M
01O04P1	01O04	Pluviómetro en Rbla Salada	0101000020E66400000000000004E8234100000080AE0B5041	Pluviometro	P
01O05A1	01O05	Aforo en Río Guadalentín - El Palmar	0101000020E66400002FDD24062632244154E3A5CBC5065041	Aforo en cauce	A
01O05M1	01O05	Estación Meteorológica A.Reguerón	0101000020E664000000000000D2312441000000C0C7065041	Estación Meteorologica	M
01O05P1	01O05	Pluviómetro en Río Guadalentín - El Palmar	0101000020E664000000000000D2312441000000C0C7065041	Pluviometro	P
01O06A1	01O06	Aforo en Río Guadalentín - Paretón de Totana AgAb	0101000020E6640000F0A7C6CBEA6723414A0C02DBEADC4F41	Aforo en cauce	A
01O06A2	01O06	Aforo en Rbla de las Moreras - Paretón de Totana	0101000020E66400002DB29D6FB26723418716D93EC8DC4F41	Aforo en cauce	A
01O06A3	01O06	Aforo en Río Guadalentín - Paretón Totana Ag.Arr.	0101000020E664000054E3A5DB6D6723419A999939ECDC4F41	Aforo en cauce	A
01O06M1	01O06	Estación Meteorológica AgAbParetón	0101000020E664000000000000706723410000008003DD4F41	Estación Meteorologica	M
01O06P1	01O06	Pluviómetro en Río Guadalentín - Paretón de Totana	0101000020E664000000000000706723410000008003DD4F41	Pluviometro	P
01P02M1	01P02	Estación Meteorológica Caserío Gebas	0101000020E664000000000000246A23410000004051015041	Estación Meteorologica	M
01P02P1	01P02	Pluviómetro en Caserío Gebas	0101000020E664000000000000246A23410000004051015041	Pluviometro	P
01P03M1	01P03	Estación Meteorológica Pinar Hermoso	0101000020E66400000000000042DB224100000080EB0B5041	Estación Meteorologica	M
01P03P1	01P03	Pluviómetro en Pinar Hermoso	0101000020E66400000000000042DB224100000080EB0B5041	Pluviometro	P
01P04M1	01P04	Estación Meteorológica Baños Fortuna	0101000020E664000000000000E0502441000000C015255041	Estación Meteorologica	M
01P04P1	01P04	Pluviómetro en Baños de Fortuna	0101000020E664000000000000E0502441000000C015255041	Pluviometro	P
01Q01Q1	01Q01	SAICA Estación Calidad Contraparada	0101000020E664000037894160220B24415EBA494CC00D5041	Calidad	Q
01R01A1	01R01	Aforo en Río Segura - Azud de Contraparada	0101000020E6640000F0A7C6CB880B24417D3F359E0E0C5041	Aforo en cauce	A
01R01A2	01R01	AgAb Azud de Contraparada	0101000020E6640000E3A59B04490A2441A245B6F3280C5041	Aforo en cauce	A
01R01A3	01R01	Aforo Río Segura ag. arr. Azud de Contraparada	0101000020E66400002DB29D2F240A244181954373290C5041	Aforo en cauce	A
01R01X2	01R01	Acequia de Aljufía	0101000020E66400002506819522192441D34D6208390B5041	Acequia	X
01R02C1	01R02	Aforo Azud de Abanilla hacia canal	0101000020E66400004A0C02EB067E2441E5D02293F51F5041	Aforo en canal	C
01Q02Q1	01Q02	SAICA Estación Calidad San Antón	0101000020E66400009EEFA7C69D7524414A0C02A3C80C5041	Calidad	Q
01R02C2	01R02	Aforo Azud de Abanilla	0101000020E6640000A69BC4E0067E2441BE9F1ACFF51F5041	Aforo en canal	C
01R02C3	01R02	Aforo Azud Abanilla + Canal	0101000020E6640000A69BC4E0067E2441BE9F1ACFF51F5041	Aforo en canal	C
01U01I1	01U01	Impulsión de Alhama	0101000020E6640000DF4F8D9786932341AAF1D2EDDDFD4F41	Impulsion	I
01U01I2	01U01	Impulsión de Alhama (Bombas Pequeñas)	0101000020E6640000BA490C42A593234123DBF93ED7FD4F41	Impulsion	I
01U01I3	01U01	Impulsión de Alhama  (Bombas Grandes)	0101000020E6640000BE9F1A2F95932341C1CAA1A5D7FD4F41	Impulsion	I
01U01M1	01U01	Estación Meteorológica I.Alhama	0101000020E6640000000000006E93234100000000E2FD4F41	Estación Meteorologica	M
01U01P1	01U01	Pluviómetro en Impulsión de Alhama	0101000020E6640000000000006E93234100000000E2FD4F41	Pluviometro	P
01X01X1	01X01	Acequia de Churra la Nueva (Sica)	0101000020E6640000000000004A0B2441000000006C0C5041	Acequia	X
01X02X1	01X02	Aporte Nº 1 JJHH Murcia-Acq.Barreras-Toma (Sica)	0101000020E6640000000000009C0B244100000040090C5041	Acequia	X
01X03X1	01X03	Aporte Nº 2 JJHH Murcia-Acq.Aljufía-Toma (Sica)	0101000020E664000000000000F618244100000080360B5041	Acequia	X
02A01A1	02A01	Aforo en Río Segura - Almadenes	0101000020E664000006819503C71C23417368918DFF255041	Aforo en cauce	A
02A01A2	02A01	Caudal Total Segura Ag.Arr.Almadenes	0101000020E6640000A245B6B3D51A23413F355EB2EC255041	Aforo en cauce	A
02A01A3	02A01	Caudal Total Segura Ag.Aba.Almadenes	0101000020E664000000000000601D234100000000FF255041	Aforo en cauce	A
02A01M1	02A01	Estación Meteorológica Almadenes	0101000020E664000000000000601D234100000000FF255041	Estación Meteorologica	M
02A01P1	02A01	Pluviómetro en Río Segura - Almadenes	0101000020E664000000000000601D234100000000FF255041	Pluviometro	P
02A01X1	02A01	Acequia  D. Gonzalo (Ag.Arr.Gallardo)	0101000020E664000046B6F37D1F1D2341EE7C3F7DF6255041	Acequia	X
02A01X2	02A01	Acequia  D. Gonzalo (Ag.Aba.Gallardo)	0101000020E66400001D5A647B1F1D23419EEFA716FE255041	Acequia	X
02A01X3	02A01	Acequia  D. Gonzalo (Vertido al río en Gallardo)	0101000020E6640000E5D022DB0F1D2341B4C8765EFB255041	Acequia	X
02A02A1	02A02	Aforo en Río Segura - Ojós	0101000020E664000025068155CEB22341448B6C07AC1C5041	Aforo en cauce	A
02A02A2	02A02	Total Ojós + Acequias	0101000020E6640000F2D24D22EFB22341E5D02223991C5041	Aforo en cauce	A
02A02M1	02A02	Estación Meteorológica A.Ojós	0101000020E66400000000000088B2234100000000B41C5041	Estación Meteorologica	M
02A02P1	02A02	Pluviómetro en Río Segura - Ojós	0101000020E66400000000000088B2234100000000B41C5041	Pluviometro	P
02A02X1	02A02	Acequía de Ulea	0101000020E664000014AE472198B323418D976ED2AE1C5041	Acequia	X
02A03A1	02A03	Aforo río Segura - Menjú	0101000020E6640000A245B6F3F47D2341F0A7C65B4F245041	Aforo en cauce	A
02A03M1	02A03	Estación Meteorológica A.Menjú	0101000020E664000000000000DC7D2341000000004F245041	Estación Meteorologica	M
02A04A1	02A04	Aforo en río Segura - Blanca	0101000020E66400006ABC7493049823418FC2F5C0D91F5041	Aforo en cauce	A
02A04M1	02A04	Estación Meteorológica A.Blanca	0101000020E6640000C74B37A916982341CEAACF15CB1F5041	Estación Meteorologica	M
02A04X1	02A04	Acequía de Charrara	0101000020E664000079E926B1F0972341AE47E1A2C61F5041	Acequia	X
02A05A1	02A05	Aforo río Argos (Ab. Emb. Argos)	0101000020E6640000CBA145F60EC722413F355E9AF9255041	Aforo en cauce	A
02A05M1	02A05	Estación Meteorológica AgAb.Argos	0101000020E66400000000000020C72241000000C0F7255041	Estación Meteorologica	M
02A05P1	02A05	Pluviómetro ( AgAb.Argos )	0101000020E66400000000000020C72241000000C0F7255041	Pluviometro	P
02A05X1	02A05	Acequia Hoya Gallega	0101000020E6640000F4FDD4B887C722411904564605265041	Acequia	X
02C01C1	02C01	Aforo en C.P.M.I. - Cabecera	0101000020E6640000F6285C4F21CD2341A01A2F55211C5041	Aforo en canal	C
02C01M1	02C01	Estación Meteorológica CPMI	0101000020E664000000000000F2CC2341000000C0241C5041	Estación Meteorologica	M
02C02C1	02C02	Aforo en CPMD	0101000020E66400004A0C02EB78A523415A643B27D11C5041	Aforo en canal	C
02C03C1	02C03	Salida del Mayés PT	0101000020E66400005EBA494C32A02341D9CEF7AB62185041	Aforo en canal	C
02E01A1	02E01	Embalse de Mayés - Salida Embalse Mayés	0101000020E664000054E3A55B1C9B23410C022BDF6D185041	Aforo en cauce	A
02E01C1	02E01	Salida del Mayés por C.P.M.D.	0101000020E66400005EBA494C32A02341D9CEF7AB62185041	Aforo en canal	C
02E01C2	02E01	Entrada al Mayés por C.P.M.D.	0101000020E6640000F0A7C60BDE992341FED47891C0185041	Aforo en canal	C
02E01M1	02E01	Estación Meteorológica E.Mayés	0101000020E664000000000000289A2341000000C052185041	Estación Meteorologica	M
02E01P1	02E01	Pluviómetro en Embalse de Mayés	0101000020E664000000000000289A2341000000C052185041	Pluviometro	P
02E01V1	02E01	Compuerta vert.1 aliviadero Mayés	0101000020E6640000CBA14576C49A2341666666EE69185041	Aliviadero	V
02E01V2	02E01	Compuerta vert.2 aliviadero Mayés	0101000020E66400006DE7FB69CC9A23415A643BE766185041	Aliviadero	V
02E01V3	02E01	Compuerta vert.3 aliviadero Mayés	0101000020E664000048E17A54D49A23412731081C64185041	Aliviadero	V
02E02A1	02E02	Desagüe embalse de Argos	0101000020E6640000C1CAA145DDA52241F6285CAFB81E5041	Aforo en cauce	A
02E02C1	02E02	Desagüe de Fondo Argos	0101000020E66400004260E51083A52241508D9736A71E5041	Aforo en canal	C
02E02C2	02E02	Toma Cota 400 MI Argos	0101000020E6640000A69BC4A064A522413BDF4FE5A11E5041	Aforo en canal	C
02E02C3	02E02	Toma Cota 400 MD Argos	0101000020E6640000666666E671A52241736891DDA01E5041	Aforo en canal	C
02E02C4	02E02	Toma Cota 395 MI Argos	0101000020E664000004560E2D79A522411F85EB19A31E5041	Aforo en canal	C
02E02C5	02E02	Toma Cota 395 MD Argos	0101000020E6640000C520B07286A52241BA490C12A21E5041	Aforo en canal	C
02E02C6	02E02	Caudal toma/desagüe cota 395 MI Argos	0101000020E6640000D122DBF96AA52241CFF75303A41E5041	Aforo en canal	C
