ES0702052502	01E02S01	S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190002	07E01S01	S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190002	07E01C12	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190002	07E01B01	V	184.5	172.2	196.8	221.4	36.9	49.2	61.5	49.2
ES0703190002	07C08Q15	D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190002	07E01Q97	A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190003	01E05C12	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190003	01E05B01	V	33.75	31.5	36.0	40.5	6.75	9.0	11.25	9.0
ES0703190003	01E05Q05	D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190003	01E05Q97	A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ES0703190003	01E05S01	S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
\.


