01I01D09	01E01M1	W	Velocidad del viento (m/s)
01E01D04	01E01M1	Y	Dirección del viento (°)
01I01D04	01E01M1	Y	Dirección del viento (°)
01E01P01	01E01P1	P	Pluviómetro
01E01Q02	01E01X1	Q	Caudal
01E01Q07	01E01X2	Q	Caudal
01E01U01	01E01X3	N	Nivel
01E01Q26	01E01X3	Q	Caudal
01E02Q16	01E02A1	Q	Caudal
01E02U12	01E02C1	N	Nivel
01E02Q22	01E02C1	Q	Caudal
01E02Q97	01E02E1	A	Aportación
01E02Q22	01E02E1	D	Desagüe
01E02C12	01E02E1	N	Nivel
01E02S01	01E02E1	S	Superficie
01E02B01	01E02E1	V	Volumen
01E02D03	01E02M1	G	Presión (mbar)
01E02D06	01E02M1	H	Humedad Relativa
01E02D08	01E02M1	R	Punto de rocío (°C)
01E02D05	01E02M1	T	Temperatura (°C)
01E02D09	01E02M1	W	Velocidad del viento (m/s)
01E02D04	01E02M1	Y	Dirección del viento (°)
01E02P01	01E02P1	P	Pluviómetro
01E03Q05	01E03A1	Q	Caudal
01E03Q97	01E03E1	A	Aportación
01E03Q05	01E03E1	D	Desagüe
01E03C12	01E03E1	N	Nivel
01E03S01	01E03E1	S	Superficie
01E03B01	01E03E1	V	Volumen
01E03D03	01E03M1	G	Presión (mbar)
01E03D06	01E03M1	H	Humedad Relativa
01E03D08	01E03M1	R	Punto de rocío (°C)
01E03D05	01E03M1	T	Temperatura (°C)
01E03D09	01E03M1	W	Velocidad del viento (m/s)
01E03D04	01E03M1	Y	Dirección del viento (°)
01E03P01	01E03P1	P	Pluviómetro
01E04Q03	01E04A1	Q	Caudal
01E04Q97	01E04E1	A	Aportación
01E04Q03	01E04E1	D	Desagüe
01E04C12	01E04E1	N	Nivel
01E04S01	01E04E1	S	Superficie
01E04B01	01E04E1	V	Volumen
01E04D03	01E04M1	G	Presión (mbar)
01E04D06	01E04M1	H	Humedad Relativa
01E04D08	01E04M1	R	Punto de rocío (°C)
01E04D05	01E04M1	T	Temperatura (°C)
01E04D09	01E04M1	W	Velocidad del viento (m/s)
01E04D04	01E04M1	Y	Dirección del viento (°)
01E04P01	01E04P1	P	Pluviómetro
01E05Q07	01E05A1	Q	Caudal
01E05L02	01E05C1	N	Nivel
01E05B02	01E05C1	V	Volumen
01C06L03	01E05C2	N	Nivel
01E05B03	01E05C2	V	Volumen
01E05Q06	01E05C4	Q	Caudal
01E05Q97	01E05E1	A	Aportación
01E05Q05	01E05E1	D	Desagüe
01E05C12	01E05E1	N	Nivel
01E05S01	01E05E1	S	Superficie
01E05B01	01E05E1	V	Volumen
01E06Q05	01E06A1	Q	Caudal
01E06Q97	01E06E1	A	Aportación
01E06Q05	01E06E1	D	Desagüe
01E06C12	01E06E1	N	Nivel
01E06S01	01E06E1	S	Superficie
01E06B01	01E06E1	V	Volumen
01E06D03	01E06M1	G	Presión (mbar)
01E06D06	01E06M1	H	Humedad Relativa
01E06D08	01E06M1	R	Punto de rocío (°C)
01E06D05	01E06M1	T	Temperatura (°C)
01E06D09	01E06M1	W	Velocidad del viento (m/s)
01E06D04	01E06M1	Y	Dirección del viento (°)
01E07Q05	01E07A1	Q	Caudal
01E07Q97	01E07E1	A	Aportación
01E07Q05	01E07E1	D	Desagüe
01E07C12	01E07E1	N	Nivel
01E07S01	01E07E1	S	Superficie
01E07B01	01E07E1	V	Volumen
01E07D03	01E07M1	G	Presión (mbar)
01E07D06	01E07M1	H	Humedad Relativa
01E07D08	01E07M1	R	Punto de rocío (°C)
01E07D05	01E07M1	T	Temperatura (°C)
01E07D09	01E07M1	W	Velocidad del viento (m/s)
