valor,fecha
1.39984465,2021-01-01
1.29611933,2021-02-01
1.20117462,2021-03-01
1.35758054,2021-04-01
2.22689056,2021-05-01
1.77796125,2021-06-01
1.49961817,2021-07-01
1.2602917,2021-08-01
1.21231651,2021-09-01
1.0289000000000001,2021-10-01
4.32945,2021-11-01
2.41098,2021-12-01
2.9654499999999997,2022-01-01
2.35384,2022-02-01
2.13312,2022-03-01
3.04203,2022-04-01
2.8964299999999996,2022-05-01
2.44775,2022-06-01
1.99636,2022-07-01
1.66475,2022-08-01
1.5793,2022-09-01
1.48076,2022-10-01
1.24567,2022-11-01
1.0351,2022-12-01
0.85653,2023-01-01
0.7749299999999999,2023-02-01
0.68561,2023-03-01
0.61338,2023-04-01
1.69114,2023-05-01
1.4648800000000002,2023-06-01
1.2705799999999998,2023-07-01
1.08614,2023-08-01
1.80699,2023-09-01
6.10926,2023-10-01
3.93789,2023-11-01
3.26793,2023-12-01
3.05414,2024-01-01
2.58028,2024-02-01
4.94619,2024-03-01
3.7175100000000003,2024-04-01
3.38331,2024-05-01
3.3428299999999997,2024-06-01
3.3389499999999996,2024-07-01
3.33446,2024-08-01
4.99062,2024-09-01
3.6016,2024-10-01
2.87896,2024-11-01
10.754,2024-12-01
6.84272,2025-01-01
8.217120000000001,2025-02-01
8.17151,2025-03-01
6.5730699999999995,2025-04-01
5.46336,2025-05-01
5.07563,2025-06-01
4.21066,2025-07-01
3.9352300000000002,2025-08-01
3.37528,2025-09-01
2.819,2025-10-01
5.134,2025-11-01
3.731,2025-12-01
3.231,2026-01-01
2.453,2026-02-01
2.476,2026-03-01
2.042,2026-04-01
2.018,2026-05-01
1.604,2026-06-01
1.203,2026-07-01
1.203,2026-08-01
0.803,2026-09-01
0.92359,2026-10-01
1.4666199999999998,2026-11-01
1.18274,2026-12-01
0.97739,2027-01-01
0.82435,2027-02-01
0.946,2027-03-01
1.08674,2027-04-01
1.00617,2027-05-01
0.84939,2027-06-01
0.72303,2027-07-01
0.6132000000000001,2027-08-01
2.47138,2027-09-01
