valor,fecha
5.83072424,2021-01-01
6.96719074,2021-02-01
6.58418798,2021-03-01
5.6678648,2021-04-01
5.2216568,2021-05-01
4.83369207,2021-06-01
3.99167371,2021-07-01
3.28268337,2021-08-01
3.14694524,2021-09-01
3.75667,2021-10-01
6.261870588235294,2021-11-01
5.32259,2021-12-01
6.37559,2022-01-01
7.54293,2022-02-01
9.375350000000001,2022-03-01
11.869764705882353,2022-04-01
7.956811764705882,2022-05-01
6.76329,2022-06-01
5.36352,2022-07-01
4.4346499999999995,2022-08-01
4.12921,2022-09-01
4.09593,2022-10-01
3.5527399999999996,2022-11-01
3.22656,2022-12-01
4.31447,2023-01-01
3.91715,2023-02-01
3.0879299999999996,2023-03-01
7.719824999999999,2023-04-01
7.4418,2023-05-01
6.32553,2023-06-01
4.6875100000000005,2023-07-01
3.69708,2023-08-01
4.18757,2023-09-01
10.468925,2023-10-01
12.2962,2023-11-01
13.504100000000001,2023-12-01
14.611176470588235,2024-01-01
12.4195,2024-02-01
15.823502776999998,2024-03-01
13.457882352941178,2024-04-01
11.439200000000001,2024-05-01
11.2056,2024-06-01
11.2004,2024-07-01
11.1914,2024-08-01
10.572270588235295,2024-09-01
8.754494117647058,2024-10-01
7.441319999999999,2024-11-01
15.823502776999998,2024-12-01
15.823502776999998,2025-01-01
15.823502776999998,2025-02-01
15.823502776999998,2025-03-01
15.823502776999998,2025-04-01
15.823502776999998,2025-05-01
15.823502776999998,2025-06-01
13.760399999999999,2025-07-01
12.174,2025-08-01
10.7491,2025-09-01
9.692,2025-10-01
10.425,2025-11-01
15.823502776999998,2025-12-01
15.823502776999998,2026-01-01
15.823502776999998,2026-02-01
15.312,2026-03-01
13.771764705882353,2026-04-01
9.542352941176471,2026-05-01
7.698823529411764,2026-06-01
6.544,2026-07-01
5.371,2026-08-01
4.501,2026-09-01
4.37993,2026-10-01
6.24134,2026-11-01
4.87603,2026-12-01
4.5638000000000005,2027-01-01
3.73477,2027-02-01
4.591,2027-03-01
6.645694117647059,2027-04-01
5.64884,2027-05-01
4.15209,2027-06-01
3.26844,2027-07-01
2.6765,2027-08-01
4.89755,2027-09-01
