valor,fecha
2.00437832,2021-01-01
1.35041523,2021-02-01
1.06213176,2021-03-01
1.66464162,2021-04-01
2.2833209,2021-05-01
1.44029605,2021-06-01
1.21036553,2021-07-01
1.01945949,2021-08-01
1.03133035,2021-09-01
0.83124,2021-10-01
6.39659,2021-11-01
2.10958,2021-12-01
4.844930000000001,2022-01-01
2.45917,2022-02-01
1.96176,2022-03-01
3.82506,2022-04-01
2.33428,2022-05-01
1.79667,2022-06-01
1.45792,2022-07-01
1.24103,2022-08-01
1.1697,2022-09-01
1.23993,2022-10-01
0.94204,2022-11-01
0.7765299999999999,2022-12-01
0.64608,2023-01-01
0.62007,2023-02-01
0.52964,2023-03-01
0.51052,2023-04-01
2.2059699999999998,2023-05-01
1.56779,2023-06-01
1.07252,2023-07-01
0.89809,2023-08-01
1.58041,2023-09-01
7.891439999999999,2023-10-01
3.20295,2023-11-01
2.4682600000000003,2023-12-01
2.27413,2024-01-01
1.8212899999999999,2024-02-01
6.74317,2024-03-01
3.748,2024-04-01
2.8216900000000003,2024-05-01
2.67762,2024-06-01
2.67417,2024-07-01
2.6658000000000004,2024-08-01
6.683140000000001,2024-09-01
2.96047,2024-10-01
2.26661,2024-11-01
17.4597,2024-12-01
8.81696,2025-01-01
14.132200000000001,2025-02-01
9.91334,2025-03-01
5.947649999999999,2025-04-01
4.7115100000000005,2025-05-01
4.95164,2025-06-01
3.29229,2025-07-01
3.53347,2025-08-01
2.65517,2025-09-01
2.05,2025-10-01
8.377,2025-11-01
3.586,2025-12-01
2.604,2026-01-01
2.008,2026-02-01
2.263,2026-03-01
1.857,2026-04-01
1.523,2026-05-01
1.104,2026-06-01
0.876,2026-07-01
0.831,2026-08-01
0.619,2026-09-01
0.76027,2026-10-01
1.56877,2026-11-01
0.9835499999999999,2026-12-01
0.7921,2027-01-01
0.67457,2027-02-01
0.933,2027-03-01
0.9664400000000001,2027-04-01
0.79902,2027-05-01
0.66752,2027-06-01
0.58431,2027-07-01
0.51015,2027-08-01
5.7636199999999995,2027-09-01
