valor,fecha
16.2294445,2021-01-01
28.6980326,2021-02-01
24.39332771,2021-03-01
18.547977,2021-04-01
15.76578045,2021-05-01
12.09761114117647,2021-06-01
10.28296947,2021-07-01
7.63778257,2021-08-01
8.31611156,2021-09-01
7.56405,2021-10-01
17.9226,2021-11-01
10.3225,2021-12-01
12.8225,2022-01-01
17.9612,2022-02-01
18.1872,2022-03-01
35.924470588235295,2022-04-01
16.807411764705883,2022-05-01
14.286299999999999,2022-06-01
10.0215,2022-07-01
7.64271,2022-08-01
7.95431,2022-09-01
7.76459,2022-10-01
6.41284,2022-11-01
5.5792399999999995,2022-12-01
10.254,2023-01-01
7.4462399999999995,2023-02-01
6.022930000000001,2023-03-01
15.057325000000002,2023-04-01
18.00494117647059,2023-05-01
15.304200000000002,2023-06-01
9.95181,2023-07-01
7.17659,2023-08-01
9.49147,2023-09-01
23.728675,2023-10-01
26.368299999999998,2023-11-01
37.9859,2023-12-01
39.87364705882353,2024-01-01
33.8926,2024-02-01
47.611598588999996,2024-03-01
34.501647058823536,2024-04-01
29.326400000000003,2024-05-01
27.8677,2024-06-01
27.773799999999998,2024-07-01
27.7465,2024-08-01
24.21741176470588,2024-09-01
19.000823529411765,2024-10-01
16.1507,2024-11-01
40.37675,2024-12-01
47.611598588999996,2025-01-01
47.611598588999996,2025-02-01
47.611598588999996,2025-03-01
47.611598588999996,2025-04-01
39.762941176470584,2025-05-01
28.659529411764705,2025-06-01
24.360599999999998,2025-07-01
22.7757,2025-08-01
19.618599999999997,2025-09-01
19.54,2025-10-01
31.448,2025-11-01
47.611598588999996,2025-12-01
47.611598588999996,2026-01-01
47.611598588999996,2026-02-01
44.577,2026-03-01
35.95411764705882,2026-04-01
22.923529411764704,2026-05-01
17.551764705882356,2026-06-01
14.919,2026-07-01
12.001,2026-08-01
10.234,2026-09-01
9.41675,2026-10-01
17.5699,2026-11-01
11.7523,2026-12-01
11.0323,2027-01-01
8.847389999999999,2027-02-01
15.356,2027-03-01
17.851411764705883,2027-04-01
15.1737,2027-05-01
10.3431,2027-06-01
7.856529999999999,2027-07-01
6.30649,2027-08-01
15.3766,2027-09-01
