valor,fecha
0.6469688399999995,2021-01-01
0.4996070899999978,2021-02-01
0.42615890999999806,2021-03-01
0.44063186999999715,2021-04-01
0.6602211000000011,2021-05-01
0.4931564299999991,2021-06-01
0.4547386099999997,2021-07-01
0.4138050100000008,2021-08-01
0.5383090999999993,2021-09-01
0.4737000000000009,2021-10-01
1.7353499999999968,2021-11-01
0.797229999999999,2021-12-01
1.1630099999999999,2022-01-01
0.815100000000001,2022-02-01
1.097850000000001,2022-03-01
2.0219900000000024,2022-04-01
0.9846200000000067,2022-05-01
0.7486200000000025,2022-06-01
0.6236999999999995,2022-07-01
0.5452699999999986,2022-08-01
0.4990099999999984,2022-09-01
2.2488199999999985,2022-10-01
0.811630000000001,2022-11-01
0.6144500000000015,2022-12-01
0.5089299999999994,2023-01-01
0.5243600000000015,2023-02-01
0.4206000000000003,2023-03-01
0.39395999999999987,2023-04-01
1.575019999999995,2023-05-01
1.9315300000000022,2023-06-01
0.8003700000000009,2023-07-01
0.6888900000000007,2023-08-01
0.9836600000000004,2023-09-01
0.6948200000000071,2023-10-01
0.63382,2023-11-01
0.5393399999999957,2023-12-01
0.5581600000000009,2024-01-01
0.46361000000000274,2024-02-01
0.9362299999999948,2024-03-01
0.569500000000005,2024-04-01
0.5191999999999979,2024-05-01
0.5141200000000055,2024-06-01
0.5133699999999948,2024-07-01
0.5057999999999936,2024-08-01
4.785499999999999,2024-09-01
1.4769099999999966,2024-10-01
1.1004700000000014,2024-11-01
4.244349999999997,2024-12-01
2.690879999999993,2025-01-01
2.4032400000000393,2025-02-01
2.817389999999989,2025-03-01
1.5848799999999983,2025-04-01
1.2423000000000002,2025-05-01
1.545429999999996,2025-06-01
1.0267000000000053,2025-07-01
1.4577400000000011,2025-08-01
1.106819999999999,2025-09-01
0.6920000000000002,2025-10-01
2.313999999999993,2025-11-01
1.0039999999999907,2025-12-01
0.8130000000000024,2026-01-01
0.7210000000000036,2026-02-01
0.6260000000000048,2026-03-01
0.4759999999999991,2026-04-01
0.35999999999999943,2026-05-01
0.34199999999999875,2026-06-01
0.3049999999999997,2026-07-01
0.3049999999999997,2026-08-01
0.3049999999999997,2026-09-01
0.42458999999999847,2026-10-01
2.268970000000003,2026-11-01
0.8334400000000031,2026-12-01
0.6472499999999997,2027-01-01
0.5363100000000003,2027-02-01
0.6559999999999988,2027-03-01
0.5486999999999966,2027-04-01
0.4579700000000031,2027-05-01
0.4113199999999999,2027-06-01
0.3756799999999991,2027-07-01
0.34196000000000026,2027-08-01
1.6001499999999993,2027-09-01
