valor,fecha
0.61896002,2021-01-01
0.43217739,2021-02-01
0.31717369,2021-03-01
0.33683392,2021-04-01
0.49483493,2021-05-01
0.35452282,2021-06-01
0.26349476,2021-07-01
0.20126979,2021-08-01
0.1821343,2021-09-01
0.11083,2021-10-01
1.61912,2021-11-01
0.54914,2021-12-01
2.37176,2022-01-01
1.13083,2022-02-01
0.76323,2022-03-01
0.75259,2022-04-01
0.46403,2022-05-01
0.31786000000000003,2022-06-01
0.23503,2022-07-01
0.18733000000000002,2022-08-01
0.15802000000000002,2022-09-01
0.22909000000000002,2022-10-01
0.18825,2022-11-01
0.13878000000000001,2022-12-01
0.11155,2023-01-01
0.09706999999999999,2023-02-01
0.09049,2023-03-01
0.0943,2023-04-01
0.7447,2023-05-01
0.4676,2023-06-01
0.31697000000000003,2023-07-01
0.23657,2023-08-01
0.26737,2023-09-01
1.5628,2023-10-01
0.78786,2023-11-01
0.52012,2023-12-01
0.40393,2024-01-01
0.30163999999999996,2024-02-01
1.1678,2024-03-01
0.7689199999999999,2024-04-01
0.7321799999999999,2024-05-01
0.73103,2024-06-01
0.73007,2024-07-01
0.72601,2024-08-01
1.32213,2024-09-01
0.73714,2024-10-01
0.47162,2024-11-01
2.92052,2024-12-01
1.98003,2025-01-01
1.69807,2025-02-01
1.64947,2025-03-01
1.01024,2025-04-01
0.64552,2025-05-01
0.50618,2025-06-01
0.36860000000000004,2025-07-01
0.36885,2025-08-01
0.26844,2025-09-01
0.049,2025-10-01
2.237,2025-11-01
0.668,2025-12-01
0.451,2026-01-01
0.257,2026-02-01
0.252,2026-03-01
0.241,2026-04-01
0.145,2026-05-01
0.128,2026-06-01
0.128,2026-07-01
0.032,2026-08-01
0.032,2026-09-01
0.09779,2026-10-01
0.27043,2026-11-01
0.15981,2026-12-01
0.11853,2027-01-01
0.09761,2027-02-01
0.142,2027-03-01
0.18494999999999998,2027-04-01
0.14486000000000002,2027-05-01
0.11848,2027-06-01
0.1021,2027-07-01
0.08664,2027-08-01
0.56875,2027-09-01
