valor,fecha
3.874165540000002,2021-01-01
4.029712680000001,2021-02-01
3.8582182,2021-03-01
4.288553240000001,2021-04-01
5.192837240000002,2021-05-01
4.672458650000001,2021-06-01
4.068568709999999,2021-07-01
3.566365010000001,2021-08-01
3.2236344900000002,2021-09-01
2.7076399999999996,2021-10-01
6.280576470588238,2021-11-01
5.338490000000002,2021-12-01
6.562976470588236,2022-01-01
5.578530000000001,2022-02-01
6.048079999999999,2022-03-01
10.317752941176474,2022-04-01
8.654094117647059,2022-05-01
7.301588235294116,2022-06-01
6.206349999999999,2022-07-01
5.280829999999997,2022-08-01
4.602430000000001,2022-09-01
4.666220000000001,2022-10-01
3.9017799999999996,2022-11-01
3.4565000000000015,2022-12-01
3.11454,2023-01-01
2.938330000000001,2023-02-01
2.65606,2023-03-01
2.7959000000000036,2023-04-01
5.968569999999998,2023-05-01
5.40192,2023-06-01
4.50972,2023-07-01
3.9070100000000005,2023-08-01
4.1722600000000005,2023-09-01
10.430650000000002,2023-10-01
9.279049999999998,2023-11-01
8.7988,2023-12-01
10.671400000000004,2024-01-01
9.269100000000002,2024-02-01
12.642262457999998,2024-03-01
11.969499999999996,2024-04-01
10.733,2024-05-01
10.700000000000006,2024-06-01
10.698899999999998,2024-07-01
10.6875,2024-08-01
11.101999999999999,2024-09-01
9.38504705882353,2024-10-01
7.977289999999999,2024-11-01
12.642262457999998,2024-12-01
12.642262457999998,2025-01-01
12.642262457999998,2025-02-01
12.642262457999998,2025-03-01
12.642262457999998,2025-04-01
12.642262457999998,2025-05-01
12.642262457999998,2025-06-01
12.642262457999998,2025-07-01
12.642262457999998,2025-08-01
11.616470588235302,2025-09-01
9.874000000000006,2025-10-01
9.991000000000003,2025-11-01
12.642262457999998,2025-12-01
11.079000000000002,2026-01-01
10.500000000000004,2026-02-01
10.042999999999997,2026-03-01
9.182000000000004,2026-04-01
8.376999999999999,2026-05-01
7.339000000000002,2026-06-01
6.303,2026-07-01
5.627000000000001,2026-08-01
4.633000000000002,2026-09-01
4.54222,2026-10-01
5.3332999999999995,2026-11-01
4.535380000000002,2026-12-01
3.957709999999999,2027-01-01
3.4682300000000006,2027-02-01
2.7859999999999996,2027-03-01
4.882860000000001,2027-04-01
4.084060000000001,2027-05-01
3.548120000000002,2027-06-01
3.086239999999999,2027-07-01
2.6910199999999995,2027-08-01
4.199729999999999,2027-09-01
