valor,fecha
1.3828907,2021-01-01
0.78046411,2021-02-01
0.50791806,2021-03-01
1.02310741,2021-04-01
1.70456505,2021-05-01
0.73981798,2021-06-01
0.49524006,2021-07-01
0.3550494,2021-08-01
0.35448742,2021-09-01
0.32896,2021-10-01
5.166939999999999,2021-11-01
1.39575,2021-12-01
5.28757,2022-01-01
1.80948,2022-02-01
1.3431199999999999,2022-03-01
6.39086,2022-04-01
1.49398,2022-05-01
0.72915,2022-06-01
0.49154000000000003,2022-07-01
0.35745,2022-08-01
0.32402,2022-09-01
0.49173,2022-10-01
0.33072,2022-11-01
0.2315,2022-12-01
0.17806,2023-01-01
0.15894,2023-02-01
0.13697,2023-03-01
0.13837,2023-04-01
1.83781,2023-05-01
0.8707,2023-06-01
0.55799,2023-07-01
0.38633999999999996,2023-08-01
0.5304,2023-09-01
4.25835,2023-10-01
1.18056,2023-11-01
0.83413,2023-12-01
0.68213,2024-01-01
0.43323,2024-02-01
2.90888,2024-03-01
0.94347,2024-04-01
0.76967,2024-05-01
0.7663,2024-06-01
0.7663,2024-07-01
0.7602599999999999,2024-08-01
2.99113,2024-09-01
1.11206,2024-10-01
0.7085499999999999,2024-11-01
12.3554,2024-12-01
5.63671,2025-01-01
7.55337,2025-02-01
4.66375,2025-03-01
1.9407699999999999,2025-04-01
1.31185,2025-05-01
1.2408,2025-06-01
0.8666699999999999,2025-07-01
0.75976,2025-08-01
0.58109,2025-09-01
0.444,2025-10-01
4.13,2025-11-01
1.327,2025-12-01
0.82,2026-01-01
0.473,2026-02-01
0.602,2026-03-01
0.468,2026-04-01
0.295,2026-05-01
0.201,2026-06-01
0.201,2026-07-01
0.097,2026-08-01
0.097,2026-09-01
0.17247,2026-10-01
0.27167,2026-11-01
0.21252000000000001,2026-12-01
0.16769,2027-01-01
0.1405,2027-02-01
0.25,2027-03-01
0.28213,2027-04-01
0.21522999999999998,2027-05-01
0.17353,2027-06-01
0.15014,2027-07-01
0.12941,2027-08-01
5.22252,2027-09-01
