valor,fecha
3.46083164,2021-01-01
3.60973549,2021-02-01
3.15077686,2021-03-01
4.53062225882353,2021-04-01
3.85102892,2021-05-01
3.43880272,2021-06-01
3.00755835,2021-07-01
2.64906096,2021-08-01
2.61616349,2021-09-01
2.1900399999999998,2021-10-01
3.15944705882353,2021-11-01
2.6855300000000004,2021-12-01
3.01348,2022-01-01
2.83944,2022-02-01
2.8166100000000003,2022-03-01
5.345905882352942,2022-04-01
4.489282352941177,2022-05-01
3.81589,2022-06-01
3.27941,2022-07-01
2.8784,2022-08-01
2.72396,2022-09-01
2.6623099999999997,2022-10-01
2.23057,2022-11-01
2.00961,2022-12-01
1.8651,2023-01-01
1.87372,2023-02-01
1.63509,2023-03-01
1.8155899999999998,2023-04-01
3.3422899999999998,2023-05-01
2.88563,2023-06-01
2.37154,2023-07-01
2.0893800000000002,2023-08-01
2.9853899999999998,2023-09-01
4.474,2023-10-01
3.8029,2023-11-01
4.03893,2023-12-01
5.121035294117647,2024-01-01
4.35288,2024-02-01
7.6646,2024-03-01
6.69097,2024-04-01
5.74653,2024-05-01
5.61621,2024-06-01
5.61025,2024-07-01
5.6071,2024-08-01
6.2943999999999996,2024-09-01
5.350239999999999,2024-10-01
4.6533500000000005,2024-11-01
7.6646,2024-12-01
7.6646,2025-01-01
7.6646,2025-02-01
7.6646,2025-03-01
7.6646,2025-04-01
7.6646,2025-05-01
7.6646,2025-06-01
7.6646,2025-07-01
7.6646,2025-08-01
7.59654,2025-09-01
6.569,2025-10-01
7.6646,2025-11-01
7.6646,2025-12-01
7.6646,2026-01-01
7.624,2026-02-01
7.638,2026-03-01
7.231,2026-04-01
6.556,2026-05-01
5.73,2026-06-01
5.017,2026-07-01
4.465,2026-08-01
3.867,2026-09-01
3.6846900000000002,2026-10-01
4.049300000000001,2026-11-01
3.46339,2026-12-01
3.15821,2027-01-01
2.8731199999999997,2027-02-01
2.936,2027-03-01
3.89179,2027-04-01
3.13372,2027-05-01
2.7631900000000003,2027-06-01
2.45123,2027-07-01
2.18592,2027-08-01
0.0,2027-09-01
